,Chunk,TP,FP,FN,Precision,Recall,F1
0,1,[],"['gender, true, woman']","['bp, true, 137/73', 'trauma, false, trauma', 'nausea, false, nausea', 'ekg, true, ekg', 'abdominal pain, false, abdominal pain', 'resp, true, 16', 'dysrhythmia, false, dysrhythmia', 'pulse, true, 91', 'suicidal ideation, false, suicidal ideation', 'cough, true, cough', 'spo2, true, 99', 'chest pain, false, chest pain', 'homicidal ideation, false, homicidal ideation', 'glucose, true, 136', 'vomiting, false, vomiting', 'diarrhea, false, diarrhea', 'gcs, true, 15', 'loss of consciousness, false, loss of consciousness', 'shortness of breath, true, shortness of breath']",0.0,0.0,0.0
1,2,"['resp, true, 16']","['gender, true, woman', 'bp, true, 130']","['bp, true, 137/73', 'trauma, false, trauma', 'nausea, false, nausea', 'ekg, true, ekg', 'abdominal pain, false, abdominal pain', 'dysrhythmia, false, dysrhythmia', 'pulse, true, 91', 'suicidal ideation, false, suicidal ideation', 'cough, true, cough', 'spo2, true, 99', 'chest pain, false, chest pain', 'homicidal ideation, false, homicidal ideation', 'glucose, true, 136', 'vomiting, false, vomiting', 'diarrhea, false, diarrhea', 'gcs, true, 15', 'loss of consciousness, false, loss of consciousness', 'shortness of breath, true, shortness of breath']",0.3333333333333333,0.05263157894736842,0.09090909090909091
2,3,"['glucose, true, 136', 'resp, true, 16', 'spo2, true, 99']","['gender, true, woman', 'bp, true, 130']","['bp, true, 137/73', 'suicidal ideation, false, suicidal ideation', 'cough, true, cough', 'trauma, false, trauma', 'chest pain, false, chest pain', 'homicidal ideation, false, homicidal ideation', 'diarrhea, false, diarrhea', 'vomiting, false, vomiting', 'nausea, false, nausea', 'gcs, true, 15', 'ekg, true, ekg', 'abdominal pain, false, abdominal pain', 'dysrhythmia, false, dysrhythmia', 'pulse, true, 91', 'loss of consciousness, false, loss of consciousness', 'shortness of breath, true, shortness of breath']",0.6,0.15789473684210525,0.25
3,4,"['glucose, true, 136', 'resp, true, 16', 'spo2, true, 99']","['gender, true, woman', 'bp, true, 130']","['bp, true, 137/73', 'suicidal ideation, false, suicidal ideation', 'cough, true, cough', 'trauma, false, trauma', 'chest pain, false, chest pain', 'homicidal ideation, false, homicidal ideation', 'diarrhea, false, diarrhea', 'vomiting, false, vomiting', 'nausea, false, nausea', 'gcs, true, 15', 'ekg, true, ekg', 'abdominal pain, false, abdominal pain', 'dysrhythmia, false, dysrhythmia', 'pulse, true, 91', 'loss of consciousness, false, loss of consciousness', 'shortness of breath, true, shortness of breath']",0.6,0.15789473684210525,0.25
4,5,"['glucose, true, 136', 'resp, true, 16', 'spo2, true, 99']","['gender, true, woman', 'bp, true, 130', 'shortness of breath, true, breathing difficulties']","['bp, true, 137/73', 'suicidal ideation, false, suicidal ideation', 'cough, true, cough', 'trauma, false, trauma', 'chest pain, false, chest pain', 'homicidal ideation, false, homicidal ideation', 'diarrhea, false, diarrhea', 'vomiting, false, vomiting', 'nausea, false, nausea', 'gcs, true, 15', 'ekg, true, ekg', 'abdominal pain, false, abdominal pain', 'dysrhythmia, false, dysrhythmia', 'pulse, true, 91', 'loss of consciousness, false, loss of consciousness', 'shortness of breath, true, shortness of breath']",0.5,0.15789473684210525,0.23999999999999996
5,6,"['glucose, true, 136', 'shortness of breath, true, shortness of breath', 'resp, true, 16', 'spo2, true, 99']","['gender, true, woman', 'cough, true, productive cough', 'bp, true, 130', 'shortness of breath, true, breathing difficulties']","['bp, true, 137/73', 'suicidal ideation, false, suicidal ideation', 'cough, true, cough', 'trauma, false, trauma', 'chest pain, false, chest pain', 'homicidal ideation, false, homicidal ideation', 'diarrhea, false, diarrhea', 'vomiting, false, vomiting', 'nausea, false, nausea', 'gcs, true, 15', 'ekg, true, ekg', 'abdominal pain, false, abdominal pain', 'dysrhythmia, false, dysrhythmia', 'pulse, true, 91', 'loss of consciousness, false, loss of consciousness']",0.5,0.21052631578947367,0.2962962962962963
6,7,"['glucose, true, 136', 'shortness of breath, true, shortness of breath', 'resp, true, 16', 'spo2, true, 99']","['gender, true, woman', 'cough, true, productive cough', 'bp, true, 130', 'shortness of breath, true, breathing difficulties']","['bp, true, 137/73', 'suicidal ideation, false, suicidal ideation', 'cough, true, cough', 'trauma, false, trauma', 'chest pain, false, chest pain', 'homicidal ideation, false, homicidal ideation', 'diarrhea, false, diarrhea', 'vomiting, false, vomiting', 'nausea, false, nausea', 'gcs, true, 15', 'ekg, true, ekg', 'abdominal pain, false, abdominal pain', 'dysrhythmia, false, dysrhythmia', 'pulse, true, 91', 'loss of consciousness, false, loss of consciousness']",0.5,0.21052631578947367,0.2962962962962963
7,8,"['glucose, true, 136', 'shortness of breath, true, shortness of breath', 'resp, true, 16', 'spo2, true, 99']","['gender, true, woman', 'cough, true, productive cough', 'bp, true, 130', 'shortness of breath, true, breathing difficulties']","['bp, true, 137/73', 'suicidal ideation, false, suicidal ideation', 'cough, true, cough', 'trauma, false, trauma', 'chest pain, false, chest pain', 'homicidal ideation, false, homicidal ideation', 'diarrhea, false, diarrhea', 'vomiting, false, vomiting', 'nausea, false, nausea', 'gcs, true, 15', 'ekg, true, ekg', 'abdominal pain, false, abdominal pain', 'dysrhythmia, false, dysrhythmia', 'pulse, true, 91', 'loss of consciousness, false, loss of consciousness']",0.5,0.21052631578947367,0.2962962962962963
8,9,"['glucose, true, 136', 'shortness of breath, true, shortness of breath', 'resp, true, 16', 'spo2, true, 99']","['shortness of breath, true, breathing difficulties', 'cough, true, productive cough', 'bp, true, 130', 'wheezing, true, lung sounds', 'gender, true, woman']","['bp, true, 137/73', 'suicidal ideation, false, suicidal ideation', 'cough, true, cough', 'trauma, false, trauma', 'chest pain, false, chest pain', 'homicidal ideation, false, homicidal ideation', 'diarrhea, false, diarrhea', 'vomiting, false, vomiting', 'nausea, false, nausea', 'gcs, true, 15', 'ekg, true, ekg', 'abdominal pain, false, abdominal pain', 'dysrhythmia, false, dysrhythmia', 'pulse, true, 91', 'loss of consciousness, false, loss of consciousness']",0.4444444444444444,0.21052631578947367,0.2857142857142857
9,10,"['glucose, true, 136', 'shortness of breath, true, shortness of breath', 'resp, true, 16', 'spo2, true, 99']","['shortness of breath, true, breathing difficulties', 'cough, true, productive cough', 'bp, true, 130', 'wheezing, true, lung sounds', 'gender, true, woman']","['bp, true, 137/73', 'suicidal ideation, false, suicidal ideation', 'cough, true, cough', 'trauma, false, trauma', 'chest pain, false, chest pain', 'homicidal ideation, false, homicidal ideation', 'diarrhea, false, diarrhea', 'vomiting, false, vomiting', 'nausea, false, nausea', 'gcs, true, 15', 'ekg, true, ekg', 'abdominal pain, false, abdominal pain', 'dysrhythmia, false, dysrhythmia', 'pulse, true, 91', 'loss of consciousness, false, loss of consciousness']",0.4444444444444444,0.21052631578947367,0.2857142857142857
